id,name,sex,type,term_of_office,prior_role,after_role,party,medium_type,cabinet,medium,ministry
ERb,Eberhard Renz,1,1,2016 bis heute,"2,4",NA,NA,2,NA,Stuttgarter Zeitung,"Ministerium für Kultus, Jugend und Sport BW"
staab,Staatsministerium BW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
innb,"Ministerium des Inneren, für Kommunen und Digitalisierung BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
fib,Finanzministerium BW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
kulb,"Ministerium für Kultus, Jugend und Sport BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
wissb,"Ministerium für Wissenschaft, Forschung und Kunst BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
umwb,"Ministerium für Umwelt, Klima und Energiewirtschaft BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
wirtb,"Ministerium für Wirtschaft, Arbeit und Tourismus BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
sozib,"Ministerium für Soziales, Gesundheit und Integration BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
justizb,Ministerium der Justiz und für Migration BW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
verkb,Verkehrsministerium BW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
ernaeb,"Ministerium für Ernährung, Ländlichen Raum und Verbraucherschutz BW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
wohnb,Ministerium für Landesentwicklung und Wohnen BW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
mmb,Manager Magazin,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
ap,AP,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
stz,Stuttgarter Zeitung,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
stn,Stuttgarter Nachrichten,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
jrv,Dr. Josef Raabe Verlag,NA,3,NA,NA,NA,NA,NA,NA,NA,NA

kick,kicker,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
